REC_BH	STATNUM	ORI	BINCIDNO	ORIADDDT	ORINIBRS	CITY	STATECOD	POPGRP	DIVISN	REGION	AGINDIC	CORECTY	COVBYORI	FIELDNO	JUDDIST	NBRSFLG	INACTDTE	POP1	COUNTY1	MSA1	LSTPOP1	POP2	COUNTY2	MSA2	LSTPOP2	POP3	COUNTY3	MSA3	LSTPOP3	POP4	COUNTY4	MSA4	LSTPOP4	POP5	COUNTY5	MSA5	LSTPOP5	MASTERYR	QTR1ACT	QTR2ACT	QTR3ACT	QTR4ACT	F1QACT	F2QACT	F3QACT	F4QACT	AGNAME	CFIPS1	CFIPS2	CFIPS3	CFIPS4	CFIPS5	HC_FLAG
BH	50	AK0010100	 	19910430	 	ANCHORAGE	AK	1C	9	4	1	Y	 	3030	020A	 	 	301239	 	38	301306	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	I	I	I	I	 	 	 	 	ANCHORAGE	 	 	 	 	 	1
BH	50	AK0010200	 	19910430	 	FAIRBANKS	AK	4	9	4	1	Y	 	3030	020A	 	 	32677	 	258	32477	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	FAIRBANKS	 	 	 	 	 	0
BH	50	AK0010300	 	19910430	 	JUNEAU	AK	4	9	4	1	N	 	3030	020A	 	 	32482	 	 	32988	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	JUNEAU	 	 	 	 	 	0
BH	50	AK0010400	 	19910430	 	KETCHIKAN	AK	6	9	4	1	N	 	3030	020A	 	 	8286	 	 	8246	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	KETCHIKAN	 	 	 	 	 	0
BH	50	AK0010500	 	19910430	 	KODIAK	AK	6	9	4	1	N	 	3030	020A	 	 	6345	 	 	6495	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	KODIAK	 	 	 	 	 	0
BH	50	AK0010600	 	19910430	 	NOME	AK	6	9	4	1	N	 	3030	020A	 	 	3832	 	 	3844	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	NOME	 	 	 	 	 	0
BH	50	AK0010700	 	19910430	 	PETERSBURG	AK	6	9	4	1	N	 	3030	020A	 	 	3130	 	 	2912	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	PETERSBURG	 	 	 	 	 	0
BH	50	AK0010800	 	19910430	 	SEWARD	AK	7	9	4	1	N	 	3030	020A	 	 	2489	 	 	2767	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	SEWARD	 	 	 	 	 	0
BH	50	AK0010900	 	19910430	 	SITKA	AK	6	9	4	1	N	 	3030	020A	 	 	8850	 	 	9051	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	 	Z	 	 	 	 	SITKA	 	 	 	 	 	0
BH	50	AK0011000	 	19910430	 	SKAGWAY	AK	7	9	4	1	N	 	3030	020A	 	 	1049	 	 	998	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	SKAGWAY	 	 	 	 	 	0
BH	50	AK0011100	 	19910430	 	WRANGELL	AK	7	9	4	1	N	 	3030	020A	 	 	2351	 	 	2409	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	WRANGELL	 	 	 	 	 	0
BH	50	AK0011200	 	19910430	 	VALDEZ	AK	6	9	4	1	N	 	3030	020A	 	 	3903	 	 	4032	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	VALDEZ	 	 	 	 	 	0
BH	50	AK0011300	 	19910430	 	BETHEL	AK	6	9	4	1	N	 	3030	020A	 	 	6497	 	 	6431	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	BETHEL	 	 	 	 	 	0
BH	50	AK0011400	 	19910430	 	CORDOVA	AK	7	9	4	1	N	 	3030	020A	 	 	2220	 	 	2293	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	 	Z	 	 	 	 	CORDOVA	 	 	 	 	 	0
BH	50	AK0011600	 	19910430	 	KOTZEBUE	AK	6	9	4	1	N	 	3030	020A	 	 	3304	 	 	3289	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	I	Z	Z	 	 	 	 	KOTZEBUE	 	 	 	 	 	1
BH	50	AK0011700	 	19910430	 	PALMER	AK	6	9	4	1	N	 	3030	020A	 	 	6652	 	38	6583	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	PALMER	 	 	 	 	 	0
BH	50	AK0011800	 	19910430	 	BARROW	AK	6	9	4	1	N	 	3030	020A	 	 	9707	 	 	9691	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	NORTH SLOPE BOROUGH	 	 	 	 	 	0
BH	50	AK0011900	 	19910430	 	SELDOVIA	AK	7	9	4	1	N	 	3030	020A	 	 	276	 	 	269	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	 	 	 	 	 	 	 	 	SELDOVIA	 	 	 	 	 	0
BH	50	AK0012000	 	19910430	 	SOLDOTNA	AK	6	9	4	1	N	 	3030	020A	 	 	4512	 	 	4431	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	I	 	 	 	 	SOLDOTNA	 	 	 	 	 	1
BH	50	AK0012100	 	19910430	 	HAINES	AK	6	9	4	1	N	 	3030	020A	 	 	2567	 	 	2599	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	HAINES	 	 	 	 	 	0
BH	50	AK0012200	 	19910430	 	HOMER	AK	6	9	4	1	N	 	3030	020A	 	 	5511	 	 	5378	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	 	Z	 	 	 	 	HOMER	 	 	 	 	 	0
BH	50	AK0012300	 	19910430	 	KENAI	AK	6	9	4	1	N	 	3030	020A	 	 	7680	 	 	7533	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	Z	Z	Z	Z	 	 	 	 	KENAI	 	 	 	 	 	0
BH	50	AK0012400	 	19910430	 	ANCHORAGE	AK	7	9	4	0	N	AK0010100	3030	020A	 	19891101	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2015	 	 	 	 	 	 	 	 	SPENARD SERVICE DISTRICT	 	 	 	 	 	0
